Username,Account ID,Account Name,User Type,Created Date,Last Login,MFA Enabled,MFA Type,Access Key 1 Status,Access Key 1 Last Used,Access Key 1 Last Rotated,Access Key 2 Status,Access Key 2 Last Used,Groups,Attached Policies,Inline Policies,Admin Access,Privileged Role,Password Last Changed,Password Age (Days),Compliance Status,Risk Level,Notes
jane.smith,234567890123,security,Human,2022-01-10,2025-04-14,Yes,Virtual MFA,Active,2025-04-14,2025-01-15,None,N/A,security-admins,SecurityAudit;ReadOnlyAccess,None,No,Yes,2025-01-15,89,COMPLIANT,LOW,CISO - SSO primary; IAM user for break-glass only
david.chen,456789012345,prod,Human,2022-01-10,2025-04-13,Yes,Hardware Token (YubiKey),Active,2025-04-13,2025-01-10,None,N/A,engineering-leads,PowerUserAccess,None,No,Yes,2025-01-10,94,COMPLIANT,LOW,VP Eng - SSO primary; break-glass only
sarah.johnson,234567890123,security,Human,2022-03-01,2025-04-14,Yes,Virtual MFA,None,N/A,N/A,None,N/A,compliance-team,SecurityAudit;ReadOnlyAccess,None,No,No,2025-01-20,84,COMPLIANT,LOW,Compliance Manager - SSO primary
mike.torres,456789012345,prod,Human,2023-04-15,2025-04-10,Yes,Virtual MFA,None,N/A,N/A,None,N/A,dev-team,DeveloperAccess-prod,None,No,No,2025-02-01,72,COMPLIANT,LOW,
lisa.wang,456789012345,prod,Human,2023-06-01,2025-04-11,Yes,Virtual MFA,None,N/A,N/A,None,N/A,data-team,DataAnalyst-prod,None,No,No,2025-02-15,58,COMPLIANT,LOW,
carlos.mendez,567890123456,staging,Human,2023-08-20,2025-04-12,Yes,Virtual MFA,Active,2025-04-12,2025-01-05,None,N/A,dev-team,DeveloperAccess-stg,None,No,No,2025-01-05,99,REVIEW,MEDIUM,Access key age approaching 90-day policy threshold
jennifer.park,678901234567,dev,Human,2024-01-10,2025-04-09,Yes,Virtual MFA,None,N/A,N/A,None,N/A,dev-team,DeveloperAccess-dev,None,No,No,2025-03-01,44,COMPLIANT,LOW,
root,456789012345,prod,Root Account,2022-01-05,Never (enforced),Yes,Hardware Token (YubiKey),None (enforced via SCP),N/A,N/A,None,N/A,N/A,N/A,N/A,Yes (root),Yes,N/A,N/A,COMPLIANT,LOW,Root: no access keys; MFA enforced; CloudWatch alarm active
svc-cicd-deployer,456789012345,prod,Service Account,2023-03-01,2025-04-14,N/A (service),N/A,Active,2025-04-14,2025-01-01,None,N/A,None,DeployerPolicy-prod,None,No,No,N/A,N/A,COMPLIANT,LOW,CI/CD deployer - key auto-rotated by Vault every 90 days
svc-monitoring-ro,456789012345,prod,Service Account,2023-03-01,2025-04-14,N/A (service),N/A,Active,2025-04-14,2025-01-01,None,N/A,None,ReadOnlyAccess,None,No,No,N/A,N/A,COMPLIANT,LOW,Datadog integration - read-only
svc-backup-agent,456789012345,prod,Service Account,2023-05-15,2025-04-13,N/A (service),N/A,Active,2025-04-13,2025-01-15,None,N/A,None,BackupPolicy-prod,None,No,No,N/A,N/A,COMPLIANT,LOW,AWS Backup agent - restricted to backup:* actions
svc-lambda-executor,456789012345,prod,Service Account,2023-07-01,2025-04-14,N/A (service),N/A,None (uses role),N/A,N/A,None,N/A,None,N/A,None,No,No,N/A,N/A,COMPLIANT,LOW,Lambda execution role - no long-term credentials
tom.bradley,456789012345,prod,Human,2021-06-15,2025-01-02,Yes,Virtual MFA,Active,2025-01-02,2023-11-01,None,N/A,dev-team,DeveloperAccess-prod,None,No,No,2023-11-01,529,NON-COMPLIANT,HIGH,Former employee - access key never rotated; offboarding gap identified. Ticket: SEC-4501 raised 2025-04-01. Deactivation pending HR confirmation.
external-auditor-kpmg,234567890123,security,External,2025-01-05,2025-03-28,Yes,Virtual MFA,None,N/A,N/A,None,N/A,external-auditors,SecurityAudit;ReadOnlyAccess,None,No,No,2025-01-05,99,COMPLIANT,LOW,Temporary access for Q1 2025 audit - expires 2025-04-30